"Total debt service (% of exports of goods, services and primary income)",Short-term debt (% of total external debt),Real interest rate (%),Total reserves minus gold (in %),Trade (% of GDP),Imports of goods and services (current US$),Exports of goods and services (current US$),Current account balance (% of GDP),"Portfolio investment, net (BoP, current US$)","Foreign direct investment, net inflows (% of GDP)",Real GDP (current US$),GDP growth (annual %),"Inflation, consumer prices (annual %)",Broad money growth (annual %),Broad money to total reserves ratio,REER 5 Year rolling,General government final consumption expenditure (% of GDP),Gross fixed capital formation (current US$),"Unemployment, total (% of total labor force) (national estimate)",Domestic credit to private sector (% of GDP),Lending interest rate (%),Deposit interest rate (%),Contagion,Soft peg,Peg,Real GDP growth (Annual percent change),Left Government (democ),Polity (polity),Durable (durable),Turnover (xconst),Legislative/Executive election (exrec),State fragility index (sfi),Years (poleff),Economic Effectiveness (ecoeff),Presist (presistance),Target
0,0,0.703125754,0.00457551,0.050865335,0.001305729,0.001031069,0.325676386,0.32434247,0.09305891,0.039750458,0.632168449,0.11556823,0.303032201,0.193746981,0.790623002,0.405432527,0.003036875,0.492988943,0.086978001,0.125054255,0.088831099,0,0,1,0.712801044,0.897959184,0.806122449,0,0.936842105,0.947916667,0.333333333,0.666666667,0,0.095744681,0
0,0,0.702945084,0.006213076,0.08262283,0.003366464,0.003054452,0.32946113,0.323711321,0.016785019,0.041378434,0.947969198,0.053229037,0.319862637,0.14854398,0.79119751,0.283614516,0.004888505,0.432103314,0.087352419,0.124699439,0.088595921,0,0,1,0.722417109,0.897959184,0.816326531,0.00862069,0.936842105,0.947916667,0.333333333,0.666666667,0,0,0
0,0,0.703545392,0.001013633,0.091894508,0.007015822,0.004421369,0.340229362,0.323986242,0.016472481,0.042176873,0.726591644,0.208438581,0.239749009,0.617824859,0.794533043,0.339074783,0.008332802,0.44428045,0.094795954,0.124548645,0.088521513,0,0,1,0.720952835,0.897959184,0.816326531,0.017241379,0.936842105,0.947916667,0.333333333,0.666666667,0,0.085106383,0
0,0,0.704894851,0.003287556,0.08826031,0.0074483,0.005208386,0.356102806,0.324225062,0.016763453,0.043858533,0.657878662,0.215395876,0.266897855,0.231447932,0.794766011,0.453110381,0.009420411,0.447601454,0.084619859,0.124669868,0.088633787,0,0,1,0.732459335,0.897959184,0.816326531,0.025862069,0.936842105,0.947916667,0.333333333,0.666666667,0,0.085106383,0
0,0,0.706182807,0.006435188,0.088022944,0.009705864,0.008809635,0.396631652,0.325095163,0.020853959,0.047664291,0.879051842,0.142352823,0.300894115,0.111719256,0.794948718,0.431218866,0.012890339,0.406642057,0.072704119,0.125436061,0.089083713,0,0,1,0.748146461,0.897959184,0.816326531,0.034482759,0.936842105,0.947916667,0.333333333,0.666666667,0,0.085106383,0
0,0,0.706708717,0.00761952,0.08812865,0.012767141,0.011984809,0.419497033,0.325116704,0.020410429,0.052794451,0.842660368,0.10384592,0.341155563,0.101641625,0.793688184,0.422170595,0.018868238,0.406642057,0.06992673,0.126017425,0.089423676,0,0,1,0.759956576,0.897959184,0.816326531,0.043103448,0.936842105,0.947916667,0.333333333,0.666666667,0,0.085106383,0
0,0,0.70648574,0.0051033,0.088814366,0.018874167,0.015954533,0.374129418,0.325267487,0.019179098,0.057043768,0.785821028,0.135969903,0.310513534,0.156583324,0.791557548,0.362624235,0.029795435,0.335793364,0.081055281,0.126335106,0.089668209,0,0,1,0.752794262,0.897959184,0.816326531,0.051724138,0.936842105,0.947916667,0.333333333,0.666666667,0,0.085106383,0
0,0,0.705431157,0.004161676,0.089581152,0.026378867,0.019749804,0.286069796,0.325450582,0.020619283,0.06468891,0.692043728,0.164409993,0.243294213,0.180745454,0.790002218,0.356319948,0.039810475,0.406642057,0.091718348,0.126326416,0.089673912,0,0,1,0.756507809,0.897959184,0.816326531,0.060344828,0.936842105,0.947916667,0.333333333,0.666666667,0,0.085106383,1
0,0,0.70367388,0.004216412,0.115354782,0.031267208,0.023434956,0.194726486,0.324774748,0.017511112,0.061798259,0.268032091,0.240781867,0.258245221,0.183688536,0.787820086,0.515735976,0.0370098,0.56051658,0.111734563,0.125928375,0.089417151,0,1,0,0.290748899,0.897959184,0.816326531,0.068965517,0.936842105,0.947916667,0.333333333,0.666666667,0,0.085106383,1
0,0,0.701707098,0.003382233,0.11910947,0.035185181,0.027753235,0.230299419,0.325362804,0.01987527,0.068149342,0.633476027,0.186702505,0.246145033,0.232893552,0.785564144,0.528496443,0.036452537,0.484132863,0.113418163,0.125140636,0.088890617,0,1,0,0.678414097,0.897959184,0.846938776,0,0.957894737,0.947916667,0.333333333,0.666666667,0,0.085106383,1
